,id,name,neighbourhood,room_type,price
72,923017,Comfort Home in Prince Edward Mtr 4 beds,Yau Tsim Mong,Entire home/apt,1071.0
73,957513,"Hollywood Rd, Spacious and Sunny",Central & Western,Entire home/apt,840.0
74,978472,New Grand Apartment in Hung Hom,Kowloon City,Entire home/apt,1000.0
75,985636,A cozy corner in Causeway Bay,Wan Chai,Private room,200.0
76,992390,Bright quiet studio in Hong Kong Central district,Central & Western,Entire home/apt,588.0
77,999123,zen style apartment in Central,Central & Western,Entire home/apt,5243.0
78,1007684,Nice room in Caine Road,Southern,Private room,300.0
79,1008590,9 bed mixed dorm ( shared bathroom),Yau Tsim Mong,Shared room,191.0
80,1016855,FURNISHED Sheung Wan FLATSHARE,Central & Western,Private room,247.0
81,1019390,A room in hip creative Sheung Wan,Central & Western,Private room,600.0
82,1022377,Lovely Quiet Apartment With Rooftop,Islands,Entire home/apt,800.0
83,1033352,Room in Wan Chai,Wan Chai,Private room,193.0
84,1033353,Sai Ying Poon Room in flatshare,Wan Chai,Private room,184.0
85,1043061,香港中心—交通便捷,Yau Tsim Mong,Private room,600.0
86,1046393,Wanchai - Room available,Wan Chai,Private room,260.0
87,1062445,Apartment with Rooftop in Tsim Sha Tsui,Yau Tsim Mong,Entire home/apt,757.0
88,1072782,Nice and Big room in Fortress Hill,Eastern,Private room,193.0
89,1079351,Premier Mong Kok MTR Railway 5 beds 2 baths,Yau Tsim Mong,Entire home/apt,1800.0
90,1101344,SAI YING PUN APARTMENT WITH ROOF TOP 西營盤房子連天台,Central & Western,Entire home/apt,892.0
91,1108132,SOHO'S URBAN CHIC DESIGNERS APT,Central & Western,Entire home/apt,483.0
92,1127705,"Bright,1100 sqf.convenient location",Central & Western,Entire home/apt,1200.0
93,1145659,CWB Room,Wan Chai,Private room,197.0
94,1149076,A beautiful Flat in Central - Caine road (ML23b),Central & Western,Private room,245.0
95,1149104,++Welcome for short term rent ++,Yau Tsim Mong,Private room,197.0
96,1152148,Luxury Studio Apartment Near Causeway Bay [2],Wan Chai,Entire home/apt,818.0
97,1157314,"Cozy refurbed flat, 1 min to MTR",Central & Western,Entire home/apt,529.0
98,1164099,"Near with SOHO, for Long/Short term",Central & Western,Private room,776.0
99,1165573,Mid-level 1br/1ba by escalator,Central & Western,Entire home/apt,731.0
100,1171633,Near MTR Welcome for short/longterm,Central & Western,Private room,200.0
101,1182474,"Kowloon Mongkok 1812 Twin Room A, near station",Yau Tsim Mong,Private room,193.0
102,1184163,Spacious Studio Apartment Near Causeway Bay [1],Wan Chai,Entire home/apt,887.0
103,1184289,Spacious Studio Apartment Near Causeway Bay [2],Wan Chai,Entire home/apt,887.0
104,1184349,Modern Studio Apartment Near Causeway Bay [3],Wan Chai,Entire home/apt,784.0
105,1187498,Nice room in Sheung Wan,Central & Western,Private room,190.0
106,1187557,The cheaper room! Near with HKU!!!!,Central & Western,Private room,195.0
107,1187739,Bright room Welcome for short term!,Sham Shui Po,Private room,129.0
108,1187770,ROOFTOP room ( SUPER close to MTR),Yau Tsim Mong,Private room,115.0
109,1226450,Flat share in Sheung Wan,Central & Western,Private room,210.0
110,1229848,Cool Stanley Surf Style Flat best village location,Southern,Entire home/apt,1500.0
111,1233830,❤️DISCOUNT: Rare&Bright flat near market/beaches🏖,Southern,Entire home/apt,880.0
112,1253977,TSIM SHA TSUI 2 Bedroom Apt (BEST) WALK 6 MIN MTR,Yau Tsim Mong,Entire home/apt,558.0
113,1278382,the peak的完整旅居,Wan Chai,Entire home/apt,2500.0
114,1286397,TSIM SHA TSUI 2 Bedroom Apt (Cozy) 6 mins walk TST,Yau Tsim Mong,Entire home/apt,675.0
115,1297179,TSIM SHA TSUI 2 Bedroom Apt(Double) 6 mins TST MTR,Yau Tsim Mong,Entire home/apt,605.0
116,1312023,Nice Yau ma Tei room,Yau Tsim Mong,Private room,234.0
117,1345297,Modern Studio in Central/Soho!,Central & Western,Entire home/apt,600.0
118,1476913,Neat Cozy Studio for 1-3 @ Wan Chai,Wan Chai,Entire home/apt,564.0
119,1534018,Old Hong Kong charm,Central & Western,Private room,750.0
120,1553655,Luxury Studio Apartment Near Causeway Bay [3],Wan Chai,Entire home/apt,818.0
121,1567495,Cozy Double Rm 3 next to Jordan MTR,Yau Tsim Mong,Private room,354.0
122,1605590,Modern Studio Apartment Near Causeway Bay [1],Wan Chai,Entire home/apt,784.0
123,1606207,3BedR + 3BathR @ Hennessy Road 07/F 580SF,Wan Chai,Entire home/apt,2144.0
124,1615676,New rooms for 1-14ppl in Mong Kok,Yau Tsim Mong,Private room,564.0
125,1622894,"Newly renovated, bright open 1bd apt, Sai Ying Pun",Central & Western,Entire home/apt,750.0
126,1643979,3BedR + 3BathR @ Hennessy Road 10/F 580SF,Wan Chai,Entire home/apt,2222.0
